player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Scottie Scheffler,0.89,0.445,0.892,0.75,1.29,0.32,0.38,99,S,98,99,89,87,78,99,15.257943958624947,1.3732149562762452,bomber_friendly_modern,"Long, semi-wide, modern bomber track"
Tommy Fleetwood,0.47,0.214,0.474,0.24,0.71,0.27,0.4,89,S,90,91,88,87,91,98,9.4094128041966,0.846847152377694,bomber_friendly_modern,"Long, semi-wide, modern bomber track"
Rory McIlroy,0.35,0.289,0.349,0.67,0.16,0.12,0.6,86,A,97,83,82,91,87,93,8.403459446405371,0.7563113501764833,bomber_friendly_modern,"Long, semi-wide, modern bomber track"
Russell Henley,0.37,0.227,0.37,0.07,0.58,0.45,0.22,87,S,87,89,94,84,90,96,7.4379803643545195,0.6694182327919067,bomber_friendly_modern,"Long, semi-wide, modern bomber track"
Ben Griffin,0.33,0.154,0.332,0.2,0.47,0.15,0.41,86,A,89,87,84,87,94,97,7.183026121883118,0.6464723509694805,bomber_friendly_modern,"Long, semi-wide, modern bomber track"
Patrick Cantlay,0.36,0.226,0.365,0.3,0.56,0.04,0.16,86,S,91,89,80,82,90,95,6.577347290036159,0.5919612561032543,bomber_friendly_modern,"Long, semi-wide, modern bomber track"
Jordan Spieth,0.24,0.067,0.243,0.31,0.23,0.2,0.15,84,A,91,84,85,82,99,98,6.547102993100694,0.5892392693790625,bomber_friendly_modern,"Long, semi-wide, modern bomber track"
J.J. Spaun,0.43,0.32,0.433,0.29,0.74,0.02,0.11,88,S,90,91,79,82,85,94,6.4844252309444625,0.5835982707850016,bomber_friendly_modern,"Long, semi-wide, modern bomber track"
Keegan Bradley,0.28,0.213,0.281,0.32,0.28,0.44,-0.06,84,A,91,84,93,78,91,94,6.116558142599318,0.5504902328339386,bomber_friendly_modern,"Long, semi-wide, modern bomber track"
Robert MacIntyre,0.25,0.088,0.249,0.23,0.31,0.1,0.25,84,A,89,85,82,84,98,98,6.052406728128007,0.5447166055315206,bomber_friendly_modern,"Long, semi-wide, modern bomber track"
