player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Scottie Scheffler,0.89,0.445,0.892,0.75,1.29,0.32,0.38,99,S,98,99,89,87,78,99,20.839341939265765,2.0839341939265768,augusta_masters,Augusta-style: second shot + wild greens + short game
Tommy Fleetwood,0.47,0.214,0.474,0.24,0.71,0.27,0.4,89,S,90,91,88,87,91,98,15.222716672667495,1.5222716672667496,augusta_masters,Augusta-style: second shot + wild greens + short game
Russell Henley,0.37,0.227,0.37,0.07,0.58,0.45,0.22,87,S,87,89,94,84,90,96,13.55897000282907,1.3558970002829072,augusta_masters,Augusta-style: second shot + wild greens + short game
Ben Griffin,0.33,0.154,0.332,0.2,0.47,0.15,0.41,86,A,89,87,84,87,94,97,11.811969916559013,1.1811969916559013,augusta_masters,Augusta-style: second shot + wild greens + short game
Rory McIlroy,0.35,0.289,0.349,0.67,0.16,0.12,0.6,86,A,97,83,82,91,87,93,11.124515186516188,1.1124515186516188,augusta_masters,Augusta-style: second shot + wild greens + short game
Justin Thomas,0.24,0.12,0.242,0.08,0.32,0.26,0.34,84,A,87,85,87,86,96,96,10.887400445683861,1.0887400445683861,augusta_masters,Augusta-style: second shot + wild greens + short game
Jordan Spieth,0.24,0.067,0.243,0.31,0.23,0.2,0.15,84,A,91,84,85,82,99,98,10.086131733204668,1.0086131733204668,augusta_masters,Augusta-style: second shot + wild greens + short game
Robert MacIntyre,0.25,0.088,0.249,0.23,0.31,0.1,0.25,84,A,89,85,82,84,98,98,9.647886038677441,0.9647886038677442,augusta_masters,Augusta-style: second shot + wild greens + short game
Keegan Bradley,0.28,0.213,0.281,0.32,0.28,0.44,-0.06,84,A,91,84,93,78,91,94,9.542850180611225,0.9542850180611225,augusta_masters,Augusta-style: second shot + wild greens + short game
Patrick Cantlay,0.36,0.226,0.365,0.3,0.56,0.04,0.16,86,S,91,89,80,82,90,95,8.918423366445555,0.8918423366445556,augusta_masters,Augusta-style: second shot + wild greens + short game
J.J. Spaun,0.43,0.32,0.433,0.29,0.74,0.02,0.11,88,S,90,91,79,82,85,94,8.521849672018377,0.8521849672018377,augusta_masters,Augusta-style: second shot + wild greens + short game
Harry Hall,0.12,0.44,0.117,-0.07,-0.02,0.38,0.88,81,B,84,80,91,97,79,84,8.096615358286826,0.8096615358286826,augusta_masters,Augusta-style: second shot + wild greens + short game
Sepp Straka,0.39,0.308,0.386,0.23,0.68,-0.07,0.24,87,S,89,90,76,84,86,93,7.494277380498402,0.7494277380498402,augusta_masters,Augusta-style: second shot + wild greens + short game
Thorbjørn Olesen,0.2,0.136,0.198,0.22,0.21,0.02,0.35,83,B,89,83,79,86,95,95,7.41620723384645,0.741620723384645,augusta_masters,Augusta-style: second shot + wild greens + short game
Hideki Matsuyama,0.23,0.341,0.234,-0.17,0.48,0.48,-0.03,83,A,82,87,94,79,84,89,7.1216300257567475,0.7121630025756748,augusta_masters,Augusta-style: second shot + wild greens + short game
Matt Fitzpatrick,0.13,0.11,0.133,0.1,0.12,0.1,0.33,81,B,87,82,82,86,96,94,7.057314254670656,0.7057314254670657,augusta_masters,Augusta-style: second shot + wild greens + short game
J.T. Poston,0.11,0.069,0.114,0.16,0.08,0.19,0.04,81,B,88,82,85,80,99,96,6.809432622309307,0.6809432622309308,augusta_masters,Augusta-style: second shot + wild greens + short game
Nick Taylor,0.22,0.184,0.22,0.0,0.43,0.1,0.13,83,A,85,87,82,82,92,93,6.654811165094934,0.6654811165094934,augusta_masters,Augusta-style: second shot + wild greens + short game
